product_id,title,description,category,subcategory,price,sale_price,available_sizes,in_stock,fit_type,silhouette,neckline,sleeve_length,length,rise,material,colors,image_url,affiliate_url
P001,Flowy A-Line Summer Dress,Beautiful flowing dress perfect for summer occasions,dresses,midi-dress,89.99,69.99,"XS,S,M,L,XL",true,relaxed,A-line,V-neck,short,midi,,cotton-blend,"blue,pink,yellow",https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=400,https://example.com/aff/p001
P002,High-Waist Dark Denim Jeans,Classic high-waisted denim perfect for any body type,bottoms,jeans,79.99,59.99,"26,28,30,32,34",true,fitted,straight,,,full,high,denim,"dark-blue",https://images.unsplash.com/photo-1541099649105-f69ad21f3246?w=400,https://example.com/aff/p002
P003,Wrap Front Blouse,Flattering wrap-style top that defines the waist,tops,blouse,49.99,,"S,M,L,XL",true,fitted,wrap,V-neck,long,,,polyester,"black,white,burgundy",https://images.unsplash.com/photo-1564257577-46bcb3f2f5ed?w=400,https://example.com/aff/p003
P004,Empire Waist Maxi Dress,Elegant empire waist dress for special occasions,dresses,maxi-dress,119.99,99.99,"XS,S,M,L",true,flowy,empire,sweetheart,sleeveless,maxi,,chiffon,"navy,emerald,wine",https://images.unsplash.com/photo-1566174053879-31528523f8ae?w=400,https://example.com/aff/p004
P005,Structured Blazer,Professional blazer with structured shoulders,outerwear,blazer,129.99,,"XS,S,M,L,XL",true,tailored,structured,,,cropped,,wool-blend,"black,gray,camel",https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400,https://example.com/aff/p005
P006,Wide-Leg Palazzo Pants,Comfortable wide-leg pants that elongate,bottoms,pants,69.99,49.99,"XS,S,M,L,XL",true,relaxed,wide-leg,,,full,high,polyester,"black,navy,olive",https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?w=400,https://example.com/aff/p006
P007,Peplum Top,Fun peplum detail adds curves,tops,blouse,54.99,,"S,M,L",true,fitted,peplum,crew,short,,,cotton,"coral,mint,lavender",https://images.unsplash.com/photo-1618932260643-87fa9a92e244?w=400,https://example.com/aff/p007
P008,Fit & Flare Party Dress,Perfect cocktail dress with defined waist,dresses,cocktail,99.99,79.99,"XS,S,M,L,XL",true,fitted,fit-and-flare,scoop,sleeveless,knee-length,,satin,"red,black,royal-blue",https://images.unsplash.com/photo-1515372039744-b8f02a3ae446?w=400,https://example.com/aff/p008
P009,Boat Neck Striped Tee,Classic nautical-inspired top,tops,t-shirt,34.99,,"XS,S,M,L,XL",true,relaxed,straight,boat-neck,short,,,cotton,"navy-white,black-white",https://images.unsplash.com/photo-1618354691373-d851c5c3a990?w=400,https://example.com/aff/p009
P010,Mid-Rise Skinny Jeans,Comfortable stretch denim,bottoms,jeans,69.99,,"25,26,27,28,29,30,31,32",true,fitted,skinny,,,full,mid,denim-stretch,"light-blue,black,gray",https://images.unsplash.com/photo-1584370848010-d7fe6bc767ec?w=400,https://example.com/aff/p010
P011,Belted Shirt Dress,Versatile dress with waist-defining belt,dresses,shirt-dress,79.99,59.99,"S,M,L,XL",true,relaxed,belted,collar,long,midi,,cotton,"white,chambray,khaki",https://images.unsplash.com/photo-1572804013309-59a88b7e92f1?w=400,https://example.com/aff/p011
P012,V-Neck Tunic,Elongating tunic perfect for layering,tops,tunic,44.99,,"S,M,L,XL,XXL",true,relaxed,straight,V-neck,three-quarter,,,jersey,"charcoal,plum,teal",https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?w=400,https://example.com/aff/p012
P013,Bootcut Yoga Pants,Flattering bootcut activewear,bottoms,activewear,59.99,,"XS,S,M,L,XL",true,fitted,bootcut,,,full,high,spandex,"black,navy,charcoal",https://images.unsplash.com/photo-1506629082955-511b1aa562c8?w=400,https://example.com/aff/p013
P014,Off-Shoulder Ruffled Top,Romantic off-shoulder style,tops,blouse,52.99,,"S,M,L",true,relaxed,ruffled,off-shoulder,short,,,cotton-blend,"white,blush,coral",https://images.unsplash.com/photo-1551488831-00ddcb6c6bd3?w=400,https://example.com/aff/p014
P015,Hourglass Bodycon Dress,Figure-hugging dress for nights out,dresses,bodycon,69.99,,"XS,S,M,L",true,fitted,bodycon,round,sleeveless,mini,,spandex-blend,"black,burgundy,emerald",https://images.unsplash.com/photo-1566206091558-7f218b696731?w=400,https://example.com/aff/p015
